           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,          TSOL4,             QA,             UV,           PRES,
           2000,            245,   117.6371    ,   89.93893    ,  0.2210310    ,   302.6650    ,   337.2490    ,   4.544769    ,   9.873162    ,   47.93419    ,  -2.095330    ,   4.303772    ,   4.139801    ,   12.59577    , -0.6024170    ,  0.1205444E-01,   5.844360    ,   6.317169    ,   7.339142    ,   7.447388    ,  0.5051882E-02,   2.292075    ,   87619.34    ,
           2000,            246,   109.2919    ,   83.63163    ,  0.2206061    ,   307.2054    ,   339.4433    ,   4.968079    ,   14.48259    ,   32.95530    ,   1.677826    ,   4.953003    ,   4.642395    ,   12.60046    ,  -1.109802    ,  0.2441406E-03,   5.929962    ,   6.282471    ,   7.173035    ,   7.444397    ,  0.5295746E-02,   1.772736    ,   87932.66    ,
           2000,            247,   105.9489    ,   81.03640    ,  0.2205473    ,   309.1656    ,   341.8964    ,   5.487885    ,   14.06224    ,   34.13340    ,  0.1487184    ,   5.425323    ,   5.110718    ,   12.61269    , -0.5803833    ,  0.2441406E-03,   6.429657    ,   6.600433    ,   7.052643    ,   7.440308    ,  0.5392964E-02,   1.160859    ,   88319.51    ,
           2000,            248,   137.1443    ,   104.7365    ,  0.2200497    ,   305.6228    ,   347.3419    ,   6.562378    ,   17.60609    ,   39.64731    ,   5.576422    ,   6.690704    ,   6.218811    ,   12.59750    , -0.2099609    ,  0.1831055E-03,   7.103333    ,   6.832825    ,   6.992310    ,   7.435547    ,  0.5553320E-02,   1.374912    ,   88484.20    ,
           2000,            249,   165.9202    ,   126.8641    ,  0.2168324    ,   296.7755    ,   353.5129    ,   7.755737    ,   13.28648    ,   47.81293    ,   8.873261    ,   8.677765    ,   7.592712    ,   12.55469    , -0.2928772    ,  0.1831055E-03,   7.941833    ,   7.343536    ,   6.996643    ,   7.430756    ,  0.5824458E-02,   2.454587    ,   88407.91    ,
           2000,            250,   210.0565    ,   160.5946    ,  0.2151185    ,   280.4150    ,   356.7664    ,   8.346039    ,   24.35326    ,   50.31458    ,   9.145246    ,   9.917175    ,   8.202759    ,   12.54227    , -0.5365906    ,  0.3356934E-03,   8.556122    ,   7.859741    ,   7.085907    ,   7.426544    ,  0.5535070E-02,   2.319716    ,   88577.48    ,
           2000,            251,   118.1643    ,   90.28790    ,  0.2293864    ,   299.9087    ,   348.3961    ,   6.799255    , -0.1996013    ,   46.97963    ,  -4.471215    ,   7.852753    ,   6.562073    ,   12.49733    , -0.7678528    ,  0.5798340E-02,   7.679626    ,   7.926392    ,   7.244019    ,   7.423645    ,  0.5484869E-02,   3.605075    ,   87163.91    ,
           2000,            252,   124.0275    ,   94.35935    ,  0.2326000    ,   295.1594    ,   339.6947    ,   5.048462    ,   4.837171    ,   51.72360    ,  -6.782369    ,   5.084808    ,   4.618134    ,   12.51696    , -0.4989624    ,  0.7934570E-02,   6.528870    ,   7.137756    ,   7.315125    ,   7.422211    ,  0.4841892E-02,   2.954533    ,   86625.57    ,
           2000,            253,   108.3234    ,   82.15903    ,  0.2351418    ,   296.9599    ,   336.7126    ,   4.435913    ,  -4.118280    ,   51.16771    ,  -5.693475    ,   4.682465    ,   4.037354    ,   12.54719    , -0.6593018    ,  0.1098633E-02,   5.855774    ,   6.558044    ,   7.252563    ,   7.420441    ,  0.5012566E-02,   3.427495    ,   87015.98    ,
           2000,            254,   155.4078    ,   117.6666    ,  0.2364038    ,   273.4211    ,   335.5602    ,   4.132812    ,   19.49113    ,   40.94106    ,  -4.539665    ,   5.009430    ,   3.641113    ,   12.58772    ,  -1.113190    ,  0.1831055E-03,   5.768524    ,   6.276672    ,   7.114288    ,   7.417542    ,  0.4659191E-02,   1.536333    ,   87779.29    ,
           2000,            255,   124.2671    ,   94.33797    ,  0.2339905    ,   296.7906    ,   339.3963    ,   4.891724    ,   11.59154    ,   33.48860    ,   3.191435    ,   6.624329    ,   4.640564    ,   12.57273    ,  -1.565948    ,  0.1831055E-03,   5.690613    ,   6.070984    ,   6.975708    ,   7.413147    ,  0.5076553E-02,   2.202107    ,   88032.75    ,
           2000,            256,   170.3110    ,   129.6982    ,  0.2316612    ,   286.6449    ,   350.3116    ,   7.099182    ,   20.25004    ,   40.61742    ,   6.351891    ,   8.757477    ,   6.887146    ,   12.53808    , -0.4501953    ,  0.2136230E-03,   7.465942    ,   6.903809    ,   6.864990    ,   7.407532    ,  0.5619766E-02,   1.807820    ,   88157.50    ,
           2000,            257,   168.7736    ,   128.5112    ,  0.2314353    ,   285.5770    ,   350.4768    ,   7.038452    ,   19.87176    ,   34.00036    ,   7.256594    ,   10.17853    ,   6.894928    ,   12.53349    ,  -1.642059    ,  0.2441406E-03,   7.334534    ,   7.057983    ,   6.905212    ,   7.401855    ,  0.5873452E-02,   1.679697    ,   88506.80    ,
           2000,            258,   130.7160    ,   99.62908    ,  0.2307810    ,   310.8410    ,   361.7936    ,   9.333435    ,   11.53601    ,   24.06198    ,   11.83294    ,   13.00696    ,   9.463867    ,   12.46015    , -0.5001831    ,  0.4272461E-03,   8.714264    ,   7.784851    ,   6.973877    ,   7.396973    ,  0.7119738E-02,   1.529800    ,   88203.60    ,
           2000,            259,   187.9454    ,   143.4239    ,  0.2295962    ,   303.1847    ,   370.1737    ,   10.92419    ,   23.03070    ,   36.39037    ,   16.59935    ,   14.17722    ,   10.93768    ,   12.44262    , -0.4174500    ,  0.6103516E-03,   10.27408    ,   8.766235    ,   7.154480    ,   7.393188    ,  0.7761979E-02,   1.404067    ,   88295.78    ,
           2000,            260,   169.4828    ,   129.3015    ,  0.2296691    ,   311.5781    ,   371.2611    ,   11.17419    ,   18.84485    ,   35.04581    ,   13.93255    ,   13.95947    ,   11.22101    ,   12.44893    , -0.3554077    ,  0.6103516E-03,   10.70013    ,   9.435486    ,   7.463074    ,   7.391846    ,  0.7928112E-02,   2.045244    ,   88390.09    ,
           2000,            261,   102.7650    ,   78.49924    ,  0.2287190    ,   330.3344    ,   368.9625    ,   10.83554    , -0.5683873    ,   34.71616    ,   5.769325    ,   12.20135    ,   10.87665    ,   12.47760    , -0.7809448E-01,  0.6103516E-03,   10.63223    ,   9.798462    ,   7.806580    ,   7.393860    ,  0.7777423E-02,   2.897050    ,   88339.23    ,
           2000,            262,   147.5092    ,   112.9043    ,  0.2273751    ,   290.6840    ,   355.2346    ,   8.144897    ,   8.871741    ,   46.79282    ,  -5.812212    ,   9.151855    ,   7.836121    ,   12.55266    , -0.4909058    ,  0.3662109E-03,   9.133728    ,   9.211548    ,   8.094330    ,   7.398712    ,  0.5701248E-02,   2.827573    ,   88546.75    ,
           2000,            263,   163.5142    ,   125.0200    ,  0.2204541    ,   274.7824    ,   347.9276    ,   6.646301    ,   18.53085    ,   38.52398    ,  -5.620249    ,   8.102112    ,   6.327667    ,   12.59636    , -0.7948608    ,  0.4272461E-03,   7.701965    ,   8.218140    ,   8.198486    ,   7.405548    ,  0.4601215E-02,   2.074110    ,   88916.47    ,
           2000,            264,   70.29520    ,   53.58930    ,  0.2155659    ,   308.9671    ,   341.0645    ,   5.334564    , -0.5747486    ,   33.79235    ,  -10.73967    ,   5.681915    ,   4.906067    ,   12.60199    , -0.7223206    ,  0.2441406E-03,   6.687958    ,   7.612488    ,   8.151764    ,   7.412292    ,  0.5157469E-02,   2.668827    ,   88277.46    ,
           2000,            265,   190.2368    ,   144.6381    ,  0.2170734    ,   228.2782    ,   322.8197    ,   1.447845    ,   28.77561    ,   47.09162    ,  -23.27203    ,   1.980957    ,  0.7098083    ,   12.70289    ,  -4.451172    ,  0.1220703E-03,   4.495148    ,   6.415222    ,   7.985168    ,   7.418182    ,  0.2944487E-02,   3.095856    ,   88686.41    ,
           2000,            266,   192.0696    ,   146.0291    ,  0.2170968    ,   225.3124    ,   319.0306    ,  0.4725952    ,   31.30501    ,   34.44280    ,  -14.40254    ,   3.179352    , -0.2291260    ,   12.67472    ,  -6.644531    ,  0.2441406E-03,   2.998749    ,   4.997162    ,   7.639038    ,   7.421570    ,  0.2711256E-02,   1.525261    ,   88588.07    ,
           2000,            267,   185.7223    ,   141.3852    ,  0.2159440    ,   251.8913    ,   333.2158    ,   3.418274    ,   25.04487    ,   31.97361    ,   1.489038    ,   7.499573    ,   3.111603    ,   12.59192    ,  -4.037292    ,  0.2441406E-03,   4.111755    ,   4.882019    ,   7.179077    ,   7.421326    ,  0.3758263E-02,   1.410419    ,   88590.29    ,
           2000,            268,   177.7754    ,   135.4580    ,  0.2150860    ,   263.7182    ,   342.6347    ,   5.380951    ,   22.06501    ,   27.56345    ,   5.855978    ,   9.972565    ,   5.161835    ,   12.55411    ,  -2.847717    ,  0.2441406E-03,   5.664795    ,   5.687958    ,   6.848389    ,   7.417450    ,  0.5156460E-02,   1.494675    ,   88824.50    ,
           2000,            269,   177.0324    ,   135.0141    ,  0.2143821    ,   266.2448    ,   348.0578    ,   6.476959    ,   20.79935    ,   25.43171    ,   6.140481    ,   11.63461    ,   6.281952    ,   12.51168    ,  -2.532593    ,  0.3662109E-03,   6.729553    ,   6.460999    ,   6.717194    ,   7.411407    ,  0.5948452E-02,   1.466819    ,   88675.43    ,
           2000,            270,   172.5969    ,   131.7079    ,  0.2139033    ,   266.9268    ,   349.4403    ,   6.774872    ,   18.58723    ,   26.24708    ,   3.738194    ,   12.11893    ,   6.556091    ,   12.48322    ,  -2.390808    ,  0.4272461E-03,   7.158630    ,   6.916748    ,   6.722473    ,   7.405090    ,  0.5914442E-02,   1.731367    ,   88358.13    ,
           2000,            271,   167.0307    ,   127.5041    ,  0.2136001    ,   267.0519    ,   349.2992    ,   6.777405    ,   12.91007    ,   28.72452    ,   2.355370    ,   11.75214    ,   6.650146    ,   12.48116    ,  -2.352722    ,  0.8544922E-03,   7.073944    ,   6.988159    ,   6.781036    ,   7.398987    ,  0.5231155E-02,   2.311859    ,   88196.71    ,
           2000,            272,   125.1526    ,   95.57217    ,  0.2133259    ,   289.9653    ,   347.5034    ,   6.528625    ,   7.762024    ,   27.93356    ,   1.029638    ,   9.783142    ,   6.371765    ,   12.50291    ,  -1.680847    ,  0.7934570E-03,   6.799866    ,   6.916626    ,   6.836792    ,   7.393433    ,  0.5224688E-02,   2.280509    ,   87956.09    ,
           2000,            273,   94.99807    ,   73.10352    ,  0.2083333    ,   316.1192    ,   353.3215    ,   7.789398    ,  -5.516140    ,   34.61306    ,   6.424082    ,   8.449341    ,   7.713562    ,   12.49161    , -0.3224182    ,  0.1498413E-01,   7.701935    ,   7.272217    ,   6.879761    ,   7.388489    ,  0.6407542E-02,   3.259300    ,   87424.75    ,
           2000,            274,   137.8605    ,   105.8809    ,  0.2094454    ,   266.2678    ,   338.6377    ,   4.809082    ,   4.366687    ,   46.98442    ,  -14.72447    ,   5.181763    ,   4.355957    ,   12.60279    ,  -1.505188    ,  0.4272461E-03,   6.413269    ,   7.171631    ,   6.978394    ,   7.384155    ,  0.4235657E-02,   3.821464    ,   87299.10    ,
